engagement_id,customer_id,favorite_match_type,average_match_watch_time_minutes,matches_watched_per_season,preferred_ad_format,ad_click_rate,sports_content_watch_hours_per_week,engagement_during_csk_matches,engagement_during_rcb_matches,engagement_during_mi_matches,streaming_device_preference,second_screen_usage,social_media_activity_during_matches,engagement_potential_score
ENG000064,CUST0064,League Match,108,30,Banner Ad,0.08,4.8,56,53,51,Laptop,No,Low,51.2
ENG000065,CUST0065,Playoffs,205,68,Video Ad,0.26,17.2,89,92,88,Smart TV,Yes,High,91.7
ENG000066,CUST0066,Rivalry Match,191,64,Short Reel,0.30,19.5,92,95,90,Mobile,Yes,High,94.8
ENG000067,CUST0067,League Match,137,39,Influencer Promotion,0.14,7.3,63,64,61,Laptop,No,Medium,62.1
ENG000068,CUST0068,League Match,113,32,Banner Ad,0.09,5.4,57,55,52,Smart TV,No,Low,53.9
ENG000069,CUST0069,Finals,229,75,Short Reel,0.33,23.4,96,97,95,Mobile,Yes,High,97.8
ENG000070,CUST0070,Rivalry Match,176,58,Video Ad,0.21,13.1,85,87,84,Laptop,Yes,Medium,84.8
ENG000071,CUST0071,League Match,146,43,Influencer Promotion,0.16,8.5,68,69,66,Mobile,Yes,Medium,68.2
ENG000072,CUST0072,League Match,117,33,Banner Ad,0.10,5.5,58,56,54,Smart TV,No,Low,55.0
ENG000073,CUST0073,Playoffs,217,71,Short Reel,0.31,20.5,93,95,92,Mobile,Yes,High,95.7
ENG000074,CUST0074,League Match,94,22,Banner Ad,0.05,3.3,45,44,42,Laptop,No,Low,43.5
ENG000075,CUST0075,Finals,237,78,Short Reel,0.35,25.2,99,98,97,Mobile,Yes,High,99.3
ENG000076,CUST0076,Rivalry Match,183,60,Video Ad,0.23,14.1,87,89,85,Smart TV,Yes,Medium,87.1
ENG000077,CUST0077,League Match,135,38,Influencer Promotion,0.13,7.1,62,63,60,Laptop,No,Medium,61.2
ENG000078,CUST0078,League Match,119,35,Banner Ad,0.11,5.9,60,58,56,Smart TV,No,Low,56.3
ENG000079,CUST0079,Playoffs,213,70,Short Reel,0.29,19.1,92,94,91,Mobile,Yes,High,94.0
ENG000080,CUST0080,League Match,100,25,Banner Ad,0.07,4.0,50,48,46,Laptop,No,Low,47.1
ENG000081,CUST0081,Rivalry Match,187,62,Video Ad,0.24,14.8,88,90,86,Smart TV,Yes,High,89.9
ENG000082,CUST0082,League Match,142,41,Influencer Promotion,0.15,8.4,66,68,64,Mobile,Yes,Medium,66.7
ENG000083,CUST0083,Finals,232,76,Short Reel,0.34,24.3,97,98,95,Mobile,Yes,High,98.2
ENG000084,CUST0084,League Match,106,29,Banner Ad,0.08,4.4,54,52,50,Laptop,No,Low,50.1
ENG000085,CUST0085,Playoffs,204,67,Video Ad,0.25,16.8,88,90,87,Smart TV,Yes,High,90.9
ENG000086,CUST0086,Rivalry Match,190,64,Short Reel,0.30,19.6,92,94,90,Mobile,Yes,High,94.5
ENG000087,CUST0087,League Match,138,40,Influencer Promotion,0.14,7.5,64,65,62,Laptop,No,Medium,63.0
ENG000088,CUST0088,League Match,112,31,Banner Ad,0.09,5.2,57,54,53,Smart TV,No,Low,53.5
ENG000089,CUST0089,Finals,227,74,Short Reel,0.32,22.9,95,96,94,Mobile,Yes,High,97.2
ENG000090,CUST0090,Rivalry Match,172,56,Video Ad,0.20,12.7,84,86,82,Laptop,Yes,Medium,83.4
ENG000091,CUST0091,League Match,148,44,Influencer Promotion,0.17,9.4,69,71,68,Mobile,Yes,Medium,70.1
ENG000092,CUST0092,League Match,115,34,Banner Ad,0.10,5.6,59,56,55,Smart TV,No,Low,55.6
ENG000093,CUST0093,Playoffs,219,73,Short Reel,0.32,21.2,94,96,93,Mobile,Yes,High,96.5
ENG000094,CUST0094,League Match,97,23,Banner Ad,0.06,3.6,47,45,43,Laptop,No,Low,44.5
ENG000095,CUST0095,Finals,238,79,Short Reel,0.35,25.4,99,98,97,Mobile,Yes,High,99.2
ENG000096,CUST0096,Rivalry Match,181,59,Video Ad,0.22,13.8,86,88,85,Smart TV,Yes,Medium,86.4
ENG000097,CUST0097,League Match,133,37,Influencer Promotion,0.13,6.8,61,62,60,Laptop,No,Medium,60.5
ENG000098,CUST0098,League Match,120,35,Banner Ad,0.11,6.0,60,58,56,Smart TV,No,Low,56.7
ENG000099,CUST0099,Playoffs,214,71,Short Reel,0.30,19.8,92,95,91,Mobile,Yes,High,94.7
ENG000100,CUST0100,League Match,103,27,Banner Ad,0.07,4.2,52,50,48,Laptop,No,Low,48.3
ENG000101,CUST0101,Rivalry Match,185,61,Video Ad,0.23,14.3,87,89,86,Smart TV,Yes,High,88.2
ENG000102,CUST0102,League Match,143,42,Influencer Promotion,0.15,8.6,67,68,65,Mobile,Yes,Medium,67.0
ENG000103,CUST0103,Finals,234,77,Short Reel,0.34,24.6,98,97,96,Mobile,Yes,High,98.5
ENG000104,CUST0104,League Match,109,30,Banner Ad,0.08,4.7,56,53,51,Laptop,No,Low,51.5
ENG000105,CUST0105,Playoffs,206,69,Video Ad,0.26,17.3,89,91,88,Smart TV,Yes,High,91.6
ENG000106,CUST0106,Rivalry Match,193,65,Short Reel,0.31,20.1,93,95,92,Mobile,Yes,High,95.3
ENG000107,CUST0107,League Match,136,38,Influencer Promotion,0.14,7.2,62,64,61,Laptop,No,Medium,61.9
ENG000108,CUST0108,League Match,114,33,Banner Ad,0.10,5.5,58,56,54,Smart TV,No,Low,54.8
ENG000109,CUST0109,Finals,230,75,Short Reel,0.33,23.6,96,97,95,Mobile,Yes,High,97.6
ENG000110,CUST0110,Rivalry Match,173,57,Video Ad,0.21,12.8,85,86,83,Laptop,Yes,Medium,84.0
ENG000111,CUST0111,League Match,147,44,Influencer Promotion,0.16,9.0,68,70,67,Mobile,Yes,Medium,69.0
ENG000112,CUST0112,League Match,116,34,Banner Ad,0.10,5.7,59,57,55,Smart TV,No,Low,55.4
ENG000113,CUST0113,Playoffs,218,72,Short Reel,0.31,20.9,94,95,93,Mobile,Yes,High,96.1
ENG000114,CUST0114,League Match,95,24,Banner Ad,0.05,3.4,46,45,43,Laptop,No,Low,43.9
ENG000115,CUST0115,Finals,239,78,Short Reel,0.35,25.6,99,98,97,Mobile,Yes,High,99.5
ENG000116,CUST0116,Rivalry Match,182,60,Video Ad,0.22,14.0,86,89,85,Smart TV,Yes,Medium,86.8
ENG000117,CUST0117,League Match,134,37,Influencer Promotion,0.13,6.9,61,63,60,Laptop,No,Medium,60.8
ENG000118,CUST0118,League Match,118,35,Banner Ad,0.11,5.9,60,58,56,Smart TV,No,Low,56.2
ENG000119,CUST0119,Playoffs,212,70,Short Reel,0.29,19.0,91,94,90,Mobile,Yes,High,93.9
ENG000120,CUST0120,League Match,101,26,Banner Ad,0.07,4.1,51,49,47,Laptop,No,Low,47.6
ENG000121,CUST0121,Rivalry Match,186,62,Video Ad,0.24,14.7,88,90,86,Smart TV,Yes,High,89.6
ENG000122,CUST0122,League Match,141,41,Influencer Promotion,0.15,8.3,66,67,64,Mobile,Yes,Medium,66.4
ENG000123,CUST0123,Finals,233,76,Short Reel,0.34,24.5,98,97,95,Mobile,Yes,High,98.4
ENG000124,CUST0124,League Match,107,29,Banner Ad,0.08,4.5,55,52,50,Laptop,No,Low,50.8
ENG000125,CUST0125,Playoffs,205,68,Video Ad,0.25,17.1,89,91,87,Smart TV,Yes,High,91.1
ENG000126,CUST0126,Rivalry Match,191,64,Short Reel,0.30,19.7,92,95,91,Mobile,Yes,High,94.9
ENG000127,CUST0127,League Match,137,39,Influencer Promotion,0.14,7.4,63,64,62,Laptop,No,Medium,62.3
ENG000128,CUST0128,League Match,113,32,Banner Ad,0.09,5.3,57,55,53,Smart TV,No,Low,53.8
ENG000129,CUST0129,Finals,228,74,Short Reel,0.32,23.0,95,96,94,Mobile,Yes,High,97.3
ENG000130,CUST0130,Rivalry Match,174,58,Video Ad,0.20,12.9,84,87,83,Laptop,Yes,Medium,84.4
ENG000131,CUST0131,League Match,145,43,Influencer Promotion,0.16,8.8,68,69,66,Mobile,Yes,Medium,68.7
ENG000132,CUST0132,League Match,117,33,Banner Ad,0.10,5.6,58,56,54,Smart TV,No,Low,55.2
ENG000133,CUST0133,Playoffs,217,72,Short Reel,0.31,20.6,93,95,92,Mobile,Yes,High,95.8
ENG000134,CUST0134,League Match,94,23,Banner Ad,0.05,3.3,45,44,42,Laptop,No,Low,43.3
ENG000135,CUST0135,Finals,237,78,Short Reel,0.35,25.3,99,98,97,Mobile,Yes,High,99.4
ENG000136,CUST0136,Rivalry Match,183,60,Video Ad,0.23,14.2,87,89,85,Smart TV,Yes,Medium,87.0
ENG000137,CUST0137,League Match,135,38,Influencer Promotion,0.13,7.0,62,63,61,Laptop,No,Medium,61.4
ENG000138,CUST0138,League Match,119,35,Banner Ad,0.11,5.8,60,58,56,Smart TV,No,Low,56.5
ENG000139,CUST0139,Playoffs,213,70,Short Reel,0.29,19.2,92,94,90,Mobile,Yes,High,94.1
ENG000140,CUST0140,League Match,100,25,Banner Ad,0.07,4.0,50,48,46,Laptop,No,Low,47.3
ENG000141,CUST0141,Rivalry Match,187,63,Video Ad,0.24,14.9,88,90,87,Smart TV,Yes,High,90.0
ENG000142,CUST0142,League Match,142,41,Influencer Promotion,0.15,8.5,66,68,65,Mobile,Yes,Medium,66.8
ENG000143,CUST0143,Finals,232,76,Short Reel,0.34,24.2,97,98,95,Mobile,Yes,High,98.0
ENG000144,CUST0144,League Match,106,29,Banner Ad,0.08,4.4,54,52,50,Laptop,No,Low,50.0
ENG000145,CUST0145,Playoffs,204,67,Video Ad,0.25,16.9,88,90,86,Smart TV,Yes,High,90.8
ENG000146,CUST0146,Rivalry Match,190,64,Short Reel,0.30,19.8,92,94,91,Mobile,Yes,High,94.6
ENG000147,CUST0147,League Match,138,40,Influencer Promotion,0.14,7.5,64,65,62,Laptop,No,Medium,63.1
ENG000148,CUST0148,League Match,112,31,Banner Ad,0.09,5.2,57,54,53,Smart TV,No,Low,53.6
ENG000149,CUST0149,Finals,227,74,Short Reel,0.32,22.7,95,96,94,Mobile,Yes,High,97.0
ENG000150,CUST0150,Rivalry Match,172,56,Video Ad,0.20,12.6,84,86,82,Laptop,Yes,Medium,83.2
ENG000151,CUST0151,League Match,148,44,Influencer Promotion,0.17,9.3,69,71,68,Mobile,Yes,Medium,69.9
ENG000152,CUST0152,League Match,115,34,Banner Ad,0.10,5.5,59,56,55,Smart TV,No,Low,55.5
ENG000153,CUST0153,Playoffs,219,73,Short Reel,0.32,21.3,94,96,93,Mobile,Yes,High,96.6
ENG000154,CUST0154,League Match,97,24,Banner Ad,0.06,3.6,47,45,43,Laptop,No,Low,44.4
ENG000155,CUST0155,Finals,238,79,Short Reel,0.35,25.5,99,98,97,Mobile,Yes,High,99.1
ENG000156,CUST0156,Rivalry Match,181,59,Video Ad,0.22,13.7,86,88,84,Smart TV,Yes,Medium,86.3
ENG000157,CUST0157,League Match,133,37,Influencer Promotion,0.13,6.7,61,62,60,Laptop,No,Medium,60.4
ENG000158,CUST0158,League Match,120,35,Banner Ad,0.11,6.1,60,58,56,Smart TV,No,Low,56.9
ENG000159,CUST0159,Playoffs,214,71,Short Reel,0.30,19.9,92,95,91,Mobile,Yes,High,94.8
ENG000160,CUST0160,League Match,103,27,Banner Ad,0.07,4.2,52,50,48,Laptop,No,Low,48.5
ENG000161,CUST0161,Rivalry Match,185,61,Video Ad,0.23,14.4,87,89,86,Smart TV,Yes,High,88.3
ENG000162,CUST0162,League Match,143,42,Influencer Promotion,0.15,8.6,67,68,65,Mobile,Yes,Medium,67.1
ENG000163,CUST0163,Finals,234,77,Short Reel,0.34,24.8,98,97,96,Mobile,Yes,High,98.7
ENG000164,CUST0164,League Match,109,30,Banner Ad,0.08,4.7,56,53,51,Laptop,No,Low,51.6
ENG000165,CUST0165,Playoffs,206,69,Video Ad,0.26,17.4,89,91,88,Smart TV,Yes,High,91.8
ENG000166,CUST0166,Rivalry Match,193,65,Short Reel,0.31,20.0,93,95,92,Mobile,Yes,High,95.2
ENG000167,CUST0167,League Match,136,38,Influencer Promotion,0.14,7.1,62,64,61,Laptop,No,Medium,61.8
ENG000168,CUST0168,League Match,114,33,Banner Ad,0.10,5.4,58,56,54,Smart TV,No,Low,54.7
ENG000169,CUST0169,Finals,230,75,Short Reel,0.33,23.5,96,97,95,Mobile,Yes,High,97.7
ENG000170,CUST0170,Rivalry Match,173,57,Video Ad,0.21,12.8,85,86,83,Laptop,Yes,Medium,84.1
ENG000171,CUST0171,League Match,147,44,Influencer Promotion,0.16,9.1,68,70,67,Mobile,Yes,Medium,69.1
ENG000172,CUST0172,League Match,116,34,Banner Ad,0.10,5.7,59,57,55,Smart TV,No,Low,55.3
ENG000173,CUST0173,Playoffs,218,72,Short Reel,0.31,21.0,94,95,93,Mobile,Yes,High,96.3
ENG000174,CUST0174,League Match,95,24,Banner Ad,0.05,3.5,46,45,43,Laptop,No,Low,44.0
ENG000175,CUST0175,Finals,239,78,Short Reel,0.35,25.7,99,98,97,Mobile,Yes,High,99.6
ENG000176,CUST0176,Rivalry Match,182,60,Video Ad,0.22,14.1,86,89,85,Smart TV,Yes,Medium,86.9
ENG000177,CUST0177,League Match,134,37,Influencer Promotion,0.13,6.9,61,63,60,Laptop,No,Medium,60.7
ENG000178,CUST0178,League Match,118,35,Banner Ad,0.11,5.9,60,58,56,Smart TV,No,Low,56.1
ENG000179,CUST0179,Playoffs,212,70,Short Reel,0.29,19.1,91,94,90,Mobile,Yes,High,93.8
ENG000180,CUST0180,League Match,101,26,Banner Ad,0.07,4.1,51,49,47,Laptop,No,Low,47.7
ENG000181,CUST0181,Rivalry Match,186,62,Video Ad,0.24,14.8,88,90,86,Smart TV,Yes,High,89.7
ENG000182,CUST0182,League Match,141,41,Influencer Promotion,0.15,8.4,66,67,64,Mobile,Yes,Medium,66.5
ENG000183,CUST0183,Finals,233,76,Short Reel,0.34,24.4,98,97,95,Mobile,Yes,High,98.3
ENG000184,CUST0184,League Match,107,29,Banner Ad,0.08,4.5,55,52,50,Laptop,No,Low,50.7
ENG000185,CUST0185,Playoffs,205,68,Video Ad,0.25,17.0,89,91,87,Smart TV,Yes,High,91.0
ENG000186,CUST0186,Rivalry Match,191,64,Short Reel,0.30,19.7,92,95,91,Mobile,Yes,High,94.9
ENG000187,CUST0187,League Match,137,39,Influencer Promotion,0.14,7.4,63,64,62,Laptop,No,Medium,62.4
ENG000188,CUST0188,League Match,113,32,Banner Ad,0.09,5.3,57,55,53,Smart TV,No,Low,53.7
ENG000189,CUST0189,Finals,228,74,Short Reel,0.32,22.8,95,96,94,Mobile,Yes,High,97.4
ENG000190,CUST0190,Rivalry Match,174,58,Video Ad,0.20,12.9,84,87,83,Laptop,Yes,Medium,84.5
ENG000191,CUST0191,League Match,145,43,Influencer Promotion,0.16,8.9,68,69,66,Mobile,Yes,Medium,68.8
ENG000192,CUST0192,League Match,117,33,Banner Ad,0.10,5.6,58,56,54,Smart TV,No,Low,55.1
ENG000193,CUST0193,Playoffs,217,72,Short Reel,0.31,20.7,93,95,92,Mobile,Yes,High,95.9
ENG000194,CUST0194,League Match,94,23,Banner Ad,0.05,3.3,45,44,42,Laptop,No,Low,43.4
ENG000195,CUST0195,Finals,237,78,Short Reel,0.35,25.4,99,98,97,Mobile,Yes,High,99.4
ENG000196,CUST0196,Rivalry Match,183,60,Video Ad,0.23,14.2,87,89,85,Smart TV,Yes,Medium,87.2
ENG000197,CUST0197,League Match,135,38,Influencer Promotion,0.13,7.0,62,63,61,Laptop,No,Medium,61.3
ENG000198,CUST0198,League Match,119,35,Banner Ad,0.11,5.8,60,58,56,Smart TV,No,Low,56.4
ENG000199,CUST0199,Playoffs,213,70,Short Reel,0.29,19.3,92,94,90,Mobile,Yes,High,94.2
ENG000200,CUST0200,League Match,100,25,Banner Ad,0.07,4.0,50,48,46,Laptop,No,Low,47.2
ENG000201,CUST0201,Rivalry Match,184,61,Short Reel,0.29,18.6,91,95,89,Mobile,Yes,High,93.5
ENG000202,CUST0202,League Match,125,39,Video Ad,0.14,8.1,66,62,58,Laptop,No,Medium,64.0
ENG000203,CUST0203,Playoffs,212,73,Influencer Promotion,0.33,21.7,95,93,91,Mobile,Yes,High,96.9
ENG000204,CUST0204,League Match,98,27,Banner Ad,0.07,4.4,53,49,47,Smart TV,No,Low,49.0
ENG000205,CUST0205,Finals,239,77,Short Reel,0.34,24.5,98,97,95,Mobile,Yes,High,98.4
ENG000206,CUST0206,League Match,145,43,Video Ad,0.17,9.8,70,72,67,Laptop,No,Medium,69.1
ENG000207,CUST0207,Rivalry Match,194,65,Short Reel,0.31,20.0,93,96,90,Mobile,Yes,High,94.9
ENG000208,CUST0208,League Match,166,42,Video Ad,0.13,8.0,64,59,62,Smart TV,No,Low,61.0
ENG000209,CUST0209,Playoffs,202,68,Influencer Promotion,0.28,18.5,89,92,87,Mobile,Yes,High,92.0
ENG000210,CUST0210,League Match,89,22,Banner Ad,0.05,3.1,45,48,43,Laptop,No,Low,44.2
ENG000211,CUST0211,Rivalry Match,176,57,Short Reel,0.27,16.5,88,91,86,Mobile,Yes,High,90.0
ENG000212,CUST0212,League Match,133,38,Video Ad,0.12,6.9,62,58,60,Smart TV,No,Medium,59.1
ENG000213,CUST0213,Playoffs,221,75,Influencer Promotion,0.34,22.9,96,95,93,Mobile,Yes,High,97.8
ENG000214,CUST0214,League Match,105,30,Banner Ad,0.08,4.8,56,53,50,Laptop,No,Low,50.7
ENG000215,CUST0215,Finals,232,79,Short Reel,0.35,25.6,99,98,96,Mobile,Yes,High,99.2
ENG000216,CUST0216,Rivalry Match,185,63,Video Ad,0.20,11.5,85,89,84,Laptop,Yes,Medium,86.0
ENG000217,CUST0217,League Match,144,41,Influencer Promotion,0.15,8.9,67,69,64,Mobile,Yes,Medium,67.4
ENG000218,CUST0218,League Match,113,32,Banner Ad,0.09,5.3,58,56,54,Smart TV,No,Low,54.1
ENG000219,CUST0219,Playoffs,215,72,Short Reel,0.30,20.3,94,95,92,Mobile,Yes,High,95.5
ENG000220,CUST0220,League Match,96,24,Banner Ad,0.06,3.7,49,47,45,Laptop,No,Low,46.1
ENG000221,CUST0221,Rivalry Match,179,58,Video Ad,0.22,12.6,87,88,85,Smart TV,Yes,Medium,87.0
ENG000222,CUST0222,League Match,150,46,Influencer Promotion,0.18,9.9,71,73,69,Mobile,Yes,Medium,71.2
ENG000223,CUST0223,Finals,241,80,Short Reel,0.35,25.8,99,99,97,Mobile,Yes,High,99.6
ENG000224,CUST0224,League Match,108,29,Banner Ad,0.08,4.3,55,51,52,Laptop,No,Low,50.0
ENG000225,CUST0225,Playoffs,207,69,Video Ad,0.26,17.7,90,91,88,Smart TV,Yes,High,91.8
ENG000226,CUST0226,Rivalry Match,190,64,Short Reel,0.29,18.9,92,94,90,Mobile,Yes,High,94.0
ENG000227,CUST0227,League Match,139,40,Influencer Promotion,0.14,7.6,64,66,63,Laptop,No,Medium,63.7
ENG000228,CUST0228,League Match,102,28,Banner Ad,0.07,4.1,54,52,48,Smart TV,No,Low,49.2
ENG000229,CUST0229,Finals,229,76,Short Reel,0.33,23.3,96,97,95,Mobile,Yes,High,97.7
ENG000230,CUST0230,Rivalry Match,172,55,Video Ad,0.21,13.4,84,87,83,Laptop,Yes,Medium,84.8
ENG000231,CUST0231,League Match,146,42,Influencer Promotion,0.16,9.1,69,66,67,Mobile,Yes,Medium,68.0
ENG000232,CUST0232,League Match,110,31,Banner Ad,0.09,5.5,57,54,53,Smart TV,No,Low,53.2
ENG000233,CUST0233,Playoffs,217,74,Short Reel,0.31,21.3,95,96,93,Mobile,Yes,High,96.4
ENG000234,CUST0234,League Match,94,23,Banner Ad,0.05,3.5,47,46,44,Laptop,No,Low,44.8
ENG000235,CUST0235,Finals,237,78,Short Reel,0.35,25.1,99,98,97,Mobile,Yes,High,99.3
ENG000236,CUST0236,Rivalry Match,181,60,Video Ad,0.24,15.3,88,90,87,Smart TV,Yes,High,90.1
ENG000237,CUST0237,League Match,137,39,Influencer Promotion,0.13,7.2,63,65,61,Laptop,No,Medium,62.0
ENG000238,CUST0238,League Match,117,33,Banner Ad,0.10,5.8,59,57,55,Smart TV,No,Low,55.5
