purchase_id,customer_id,preferred_shopping_platform,sports_equipment_spending_per_month,previous_cricket_gear_purchases,average_order_value,preferred_product_category,purchase_frequency_per_year,discount_sensitivity,cart_abandonment_rate,payment_method_preference,brand_loyalty_level,likely_to_buy_cricket_kit
PUR000020,CUST0020,Brand Website,5600,8,7400,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000021,CUST0021,Amazon,3100,4,4200,Bats,4,Medium,0.26,UPI,Medium,Yes
PUR000022,CUST0022,Flipkart,1700,2,2300,Jerseys,2,High,0.47,Debit Card,Low,No
PUR000023,CUST0023,Brand Website,6900,10,9100,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000024,CUST0024,Local Store,950,1,1200,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR000025,CUST0025,Amazon,4200,6,5500,Shoes,5,Medium,0.20,UPI,Medium,Yes
PUR000026,CUST0026,Brand Website,6100,9,8000,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000027,CUST0027,Flipkart,2300,3,3000,Gloves,3,High,0.44,Debit Card,Medium,No
PUR000028,CUST0028,Amazon,3400,5,4600,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR000029,CUST0029,Local Store,1100,1,1400,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR000030,CUST0030,Brand Website,5700,8,7500,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000031,CUST0031,Amazon,3000,4,4000,Shoes,4,Medium,0.27,UPI,Medium,Yes
PUR000032,CUST0032,Flipkart,1800,2,2200,Jerseys,2,High,0.45,Debit Card,Low,No
PUR000033,CUST0033,Brand Website,7200,10,9400,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000034,CUST0034,Local Store,1050,1,1350,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR000035,CUST0035,Amazon,4400,6,5700,Bats,5,Medium,0.21,UPI,Medium,Yes
PUR000036,CUST0036,Brand Website,6500,9,8400,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000037,CUST0037,Flipkart,2200,3,2900,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000038,CUST0038,Amazon,3600,5,4800,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000039,CUST0039,Local Store,1250,1,1550,Accessories,1,High,0.54,Cash on Delivery,Low,No
PUR000040,CUST0040,Brand Website,5500,8,7300,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR000041,CUST0041,Amazon,3300,5,4400,Bats,4,Medium,0.25,UPI,Medium,Yes
PUR000042,CUST0042,Flipkart,1900,2,2400,Jerseys,2,High,0.49,Debit Card,Low,No
PUR000043,CUST0043,Brand Website,6800,10,9000,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000044,CUST0044,Local Store,980,1,1250,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000045,CUST0045,Amazon,4100,6,5400,Shoes,5,Medium,0.22,UPI,Medium,Yes
PUR000046,CUST0046,Brand Website,6000,9,7900,Full Kits,7,Low,0.11,Credit Card,High,Yes
PUR000047,CUST0047,Flipkart,2400,3,3200,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000048,CUST0048,Amazon,3500,5,4700,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR000049,CUST0049,Local Store,1150,1,1450,Accessories,1,High,0.51,Cash on Delivery,Low,No
PUR000050,CUST0050,Brand Website,5800,8,7600,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000051,CUST0051,Amazon,3200,5,4300,Shoes,4,Medium,0.26,UPI,Medium,Yes
PUR000052,CUST0052,Flipkart,1750,2,2250,Jerseys,2,High,0.47,Debit Card,Low,No
PUR000053,CUST0053,Brand Website,7300,10,9500,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000054,CUST0054,Local Store,1020,1,1320,Accessories,1,Medium,0.33,Cash on Delivery,Low,No
PUR000055,CUST0055,Amazon,4500,6,5800,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000056,CUST0056,Brand Website,6600,9,8500,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000057,CUST0057,Flipkart,2150,3,2850,Gloves,3,High,0.41,Debit Card,Medium,No
PUR000058,CUST0058,Amazon,3700,5,5000,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000059,CUST0059,Local Store,1280,1,1580,Accessories,1,High,0.56,Cash on Delivery,Low,No
PUR000060,CUST0060,Brand Website,5400,8,7200,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000061,CUST0061,Amazon,3400,5,4500,Bats,4,Medium,0.25,UPI,Medium,Yes
PUR000062,CUST0062,Flipkart,1850,2,2350,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000063,CUST0063,Brand Website,7000,10,9200,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000064,CUST0064,Local Store,970,1,1220,Accessories,1,Medium,0.28,Cash on Delivery,Low,No
PUR000065,CUST0065,Amazon,4200,6,5500,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000066,CUST0066,Brand Website,6200,9,8100,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000067,CUST0067,Flipkart,2250,3,2950,Gloves,3,High,0.44,Debit Card,Medium,No
PUR000068,CUST0068,Amazon,3600,5,4800,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000069,CUST0069,Local Store,1180,1,1480,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000070,CUST0070,Brand Website,5700,8,7500,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000071,CUST0071,Amazon,3100,4,4200,Shoes,4,Medium,0.27,UPI,Medium,Yes
PUR000072,CUST0072,Flipkart,1700,2,2200,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000073,CUST0073,Brand Website,7100,10,9300,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000074,CUST0074,Local Store,1030,1,1330,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000075,CUST0075,Amazon,4300,6,5600,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000076,CUST0076,Brand Website,6400,9,8300,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000077,CUST0077,Flipkart,2100,3,2800,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000078,CUST0078,Amazon,3800,5,5000,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR000079,CUST0079,Local Store,1260,1,1560,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR000080,CUST0080,Brand Website,5600,8,7400,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000081,CUST0081,Amazon,3300,5,4400,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000082,CUST0082,Flipkart,1800,2,2300,Jerseys,2,High,0.47,Debit Card,Low,No
PUR000083,CUST0083,Brand Website,6900,10,9100,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000084,CUST0084,Local Store,990,1,1240,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR000085,CUST0085,Amazon,4100,6,5400,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000086,CUST0086,Brand Website,6100,9,8000,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000087,CUST0087,Flipkart,2350,3,3050,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000088,CUST0088,Amazon,3500,5,4700,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000089,CUST0089,Local Store,1120,1,1420,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR000090,CUST0090,Brand Website,5800,8,7600,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000091,CUST0091,Amazon,3200,5,4300,Shoes,4,Medium,0.26,UPI,Medium,Yes
PUR000092,CUST0092,Flipkart,1750,2,2250,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000093,CUST0093,Brand Website,7200,10,9400,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000094,CUST0094,Local Store,1040,1,1340,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR000095,CUST0095,Amazon,4400,6,5700,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000096,CUST0096,Brand Website,6500,9,8400,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000097,CUST0097,Flipkart,2200,3,2900,Gloves,3,High,0.41,Debit Card,Medium,No
PUR000098,CUST0098,Amazon,3700,5,4900,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000099,CUST0099,Local Store,1270,1,1570,Accessories,1,High,0.54,Cash on Delivery,Low,No
PUR000100,CUST0100,Brand Website,5500,8,7300,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000101,CUST0101,Amazon,3400,5,4500,Bats,4,Medium,0.25,UPI,Medium,Yes
PUR000102,CUST0102,Flipkart,1850,2,2350,Jerseys,2,High,0.49,Debit Card,Low,No
PUR000103,CUST0103,Brand Website,6800,10,9000,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000104,CUST0104,Local Store,960,1,1210,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000105,CUST0105,Amazon,4200,6,5500,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000106,CUST0106,Brand Website,6200,9,8100,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000107,CUST0107,Flipkart,2300,3,3000,Gloves,3,High,0.44,Debit Card,Medium,No
PUR000108,CUST0108,Amazon,3600,5,4800,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000109,CUST0109,Local Store,1190,1,1490,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000110,CUST0110,Brand Website,5700,8,7500,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000111,CUST0111,Amazon,3100,4,4200,Shoes,4,Medium,0.27,UPI,Medium,Yes
PUR000112,CUST0112,Flipkart,1700,2,2200,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000113,CUST0113,Brand Website,7100,10,9300,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000114,CUST0114,Local Store,1010,1,1310,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000115,CUST0115,Amazon,4300,6,5600,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000116,CUST0116,Brand Website,6400,9,8300,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000117,CUST0117,Flipkart,2100,3,2800,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000118,CUST0118,Amazon,3800,5,5000,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR000119,CUST0119,Local Store,1260,1,1560,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR000120,CUST0120,Brand Website,5600,8,7400,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000121,CUST0121,Amazon,3300,5,4400,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000122,CUST0122,Flipkart,1800,2,2300,Jerseys,2,High,0.47,Debit Card,Low,No
PUR000123,CUST0123,Brand Website,6900,10,9100,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000124,CUST0124,Local Store,980,1,1230,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR000125,CUST0125,Amazon,4100,6,5400,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000126,CUST0126,Brand Website,6100,9,8000,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000127,CUST0127,Flipkart,2400,3,3100,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000128,CUST0128,Amazon,3500,5,4700,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000129,CUST0129,Local Store,1130,1,1430,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR000130,CUST0130,Brand Website,5800,8,7600,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000131,CUST0131,Amazon,3200,5,4300,Shoes,4,Medium,0.26,UPI,Medium,Yes
PUR000132,CUST0132,Flipkart,1750,2,2250,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000133,CUST0133,Brand Website,7200,10,9400,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000134,CUST0134,Local Store,1040,1,1340,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR000135,CUST0135,Amazon,4400,6,5700,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000136,CUST0136,Brand Website,6500,9,8400,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000137,CUST0137,Flipkart,2200,3,2900,Gloves,3,High,0.41,Debit Card,Medium,No
PUR000138,CUST0138,Amazon,3700,5,4900,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000139,CUST0139,Local Store,1270,1,1570,Accessories,1,High,0.54,Cash on Delivery,Low,No
PUR000140,CUST0140,Brand Website,5500,8,7300,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000141,CUST0141,Amazon,3400,5,4500,Bats,4,Medium,0.25,UPI,Medium,Yes
PUR000142,CUST0142,Flipkart,1850,2,2350,Jerseys,2,High,0.49,Debit Card,Low,No
PUR000143,CUST0143,Brand Website,6800,10,9000,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000144,CUST0144,Local Store,960,1,1210,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000145,CUST0145,Amazon,4200,6,5500,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000146,CUST0146,Brand Website,6200,9,8100,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000147,CUST0147,Flipkart,2300,3,3000,Gloves,3,High,0.44,Debit Card,Medium,No
PUR000148,CUST0148,Amazon,3600,5,4800,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000149,CUST0149,Local Store,1190,1,1490,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000150,CUST0150,Brand Website,5700,8,7500,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000151,CUST0151,Amazon,3100,4,4200,Shoes,4,Medium,0.27,UPI,Medium,Yes
PUR000152,CUST0152,Flipkart,1700,2,2200,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000153,CUST0153,Brand Website,7100,10,9300,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000154,CUST0154,Local Store,1010,1,1310,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000155,CUST0155,Amazon,4300,6,5600,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000156,CUST0156,Brand Website,6400,9,8300,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000157,CUST0157,Flipkart,2100,3,2800,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000158,CUST0158,Amazon,3800,5,5000,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR000159,CUST0159,Local Store,1260,1,1560,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR000160,CUST0160,Brand Website,5600,8,7400,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000161,CUST0161,Amazon,3300,5,4400,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000162,CUST0162,Flipkart,1800,2,2300,Jerseys,2,High,0.47,Debit Card,Low,No
PUR000163,CUST0163,Brand Website,6900,10,9100,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000164,CUST0164,Local Store,980,1,1230,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR000165,CUST0165,Amazon,4100,6,5400,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000166,CUST0166,Brand Website,6100,9,8000,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000167,CUST0167,Flipkart,2400,3,3100,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000168,CUST0168,Amazon,3500,5,4700,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000169,CUST0169,Local Store,1130,1,1430,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR000170,CUST0170,Brand Website,5800,8,7600,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000171,CUST0171,Amazon,3200,5,4300,Shoes,4,Medium,0.26,UPI,Medium,Yes
PUR000172,CUST0172,Flipkart,1750,2,2250,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000173,CUST0173,Brand Website,7200,10,9400,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000174,CUST0174,Local Store,1040,1,1340,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR000175,CUST0175,Amazon,4400,6,5700,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000176,CUST0176,Brand Website,6500,9,8400,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000177,CUST0177,Flipkart,2200,3,2900,Gloves,3,High,0.41,Debit Card,Medium,No
PUR000178,CUST0178,Amazon,3700,5,4900,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000179,CUST0179,Local Store,1270,1,1570,Accessories,1,High,0.54,Cash on Delivery,Low,No
PUR000180,CUST0180,Brand Website,5500,8,7300,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000181,CUST0181,Amazon,3400,5,4500,Bats,4,Medium,0.25,UPI,Medium,Yes
PUR000182,CUST0182,Flipkart,1850,2,2350,Jerseys,2,High,0.49,Debit Card,Low,No
PUR000183,CUST0183,Brand Website,6800,10,9000,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000184,CUST0184,Local Store,960,1,1210,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000185,CUST0185,Amazon,4200,6,5500,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000186,CUST0186,Brand Website,6200,9,8100,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000187,CUST0187,Flipkart,2300,3,3000,Gloves,3,High,0.44,Debit Card,Medium,No
PUR000188,CUST0188,Amazon,3600,5,4800,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000189,CUST0189,Local Store,1190,1,1490,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000190,CUST0190,Brand Website,5700,8,7500,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000191,CUST0191,Amazon,3100,4,4200,Shoes,4,Medium,0.27,UPI,Medium,Yes
PUR000192,CUST0192,Flipkart,1700,2,2200,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000193,CUST0193,Brand Website,7100,10,9300,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000194,CUST0194,Local Store,1010,1,1310,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000195,CUST0195,Amazon,4300,6,5600,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000196,CUST0196,Brand Website,6400,9,8300,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000197,CUST0197,Flipkart,2100,3,2800,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000198,CUST0198,Amazon,3800,5,5000,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR000199,CUST0199,Local Store,1260,1,1560,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR000200,CUST0200,Brand Website,5600,8,7400,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000201,CUST0201,Amazon,3450,5,4550,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000202,CUST0202,Flipkart,1820,2,2320,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000203,CUST0203,Brand Website,6950,10,9150,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000204,CUST0204,Local Store,980,1,1240,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000205,CUST0205,Amazon,4250,6,5550,Shoes,5,Medium,0.22,UPI,Medium,Yes
PUR000206,CUST0206,Brand Website,6250,9,8150,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000207,CUST0207,Flipkart,2280,3,2980,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000208,CUST0208,Amazon,3580,5,4780,Bats,4,Medium,0.23,UPI,Medium,Yes
PUR000209,CUST0209,Local Store,1170,1,1470,Accessories,1,High,0.54,Cash on Delivery,Low,No
PUR000210,CUST0210,Brand Website,5720,8,7520,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000211,CUST0211,Amazon,3150,4,4250,Shoes,4,Medium,0.26,UPI,Medium,Yes
PUR000212,CUST0212,Flipkart,1720,2,2220,Jerseys,2,High,0.47,Debit Card,Low,No
PUR000213,CUST0213,Brand Website,7150,10,9350,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000214,CUST0214,Local Store,1030,1,1330,Accessories,1,Medium,0.30,Cash on Delivery,Low,No
PUR000215,CUST0215,Amazon,4380,6,5680,Bats,5,Medium,0.21,UPI,Medium,Yes
PUR000216,CUST0216,Brand Website,6450,9,8350,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000217,CUST0217,Flipkart,2140,3,2840,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000218,CUST0218,Amazon,3740,5,4940,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000219,CUST0219,Local Store,1280,1,1580,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR000220,CUST0220,Brand Website,5580,8,7380,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR000221,CUST0221,Amazon,3320,5,4420,Bats,4,Medium,0.25,UPI,Medium,Yes
PUR000222,CUST0222,Flipkart,1880,2,2380,Jerseys,2,High,0.49,Debit Card,Low,No
PUR000223,CUST0223,Brand Website,6820,10,9020,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000224,CUST0224,Local Store,960,1,1210,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000225,CUST0225,Amazon,4180,6,5480,Shoes,5,Medium,0.20,UPI,Medium,Yes
PUR000226,CUST0226,Brand Website,6180,9,8080,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000227,CUST0227,Flipkart,2360,3,3060,Gloves,3,High,0.44,Debit Card,Medium,No
PUR000228,CUST0228,Amazon,3520,5,4720,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000229,CUST0229,Local Store,1140,1,1440,Accessories,1,High,0.53,Cash on Delivery,Low,No
PUR000230,CUST0230,Brand Website,5840,8,7640,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000231,CUST0231,Amazon,3240,5,4340,Shoes,4,Medium,0.26,UPI,Medium,Yes
PUR000232,CUST0232,Flipkart,1760,2,2260,Jerseys,2,High,0.47,Debit Card,Low,No
PUR000233,CUST0233,Brand Website,7260,10,9460,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000234,CUST0234,Local Store,1020,1,1320,Accessories,1,Medium,0.32,Cash on Delivery,Low,No
PUR000235,CUST0235,Amazon,4460,6,5760,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000236,CUST0236,Brand Website,6520,9,8420,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000237,CUST0237,Flipkart,2210,3,2910,Gloves,3,High,0.41,Debit Card,Medium,No
PUR000238,CUST0238,Amazon,3810,5,5010,Shoes,4,Medium,0.23,UPI,Medium,Yes
PUR000239,CUST0239,Local Store,1260,1,1560,Accessories,1,High,0.54,Cash on Delivery,Low,No
PUR000240,CUST0240,Brand Website,5660,8,7460,Full Kits,6,Low,0.10,Credit Card,High,Yes
PUR000241,CUST0241,Amazon,3380,5,4480,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000242,CUST0242,Flipkart,1830,2,2330,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000243,CUST0243,Brand Website,6880,10,9080,Full Kits,8,Low,0.07,Credit Card,High,Yes
PUR000244,CUST0244,Local Store,970,1,1220,Accessories,1,Medium,0.29,Cash on Delivery,Low,No
PUR000245,CUST0245,Amazon,4230,6,5530,Shoes,5,Medium,0.21,UPI,Medium,Yes
PUR000246,CUST0246,Brand Website,6230,9,8130,Full Kits,7,Low,0.10,Credit Card,High,Yes
PUR000247,CUST0247,Flipkart,2320,3,3020,Gloves,3,High,0.43,Debit Card,Medium,No
PUR000248,CUST0248,Amazon,3570,5,4770,Bats,4,Medium,0.22,UPI,Medium,Yes
PUR000249,CUST0249,Local Store,1180,1,1480,Accessories,1,High,0.52,Cash on Delivery,Low,No
PUR000250,CUST0250,Brand Website,5780,8,7580,Full Kits,6,Low,0.08,Credit Card,High,Yes
PUR000251,CUST0251,Amazon,3190,4,4290,Shoes,4,Medium,0.25,UPI,Medium,Yes
PUR000252,CUST0252,Flipkart,1740,2,2240,Jerseys,2,High,0.46,Debit Card,Low,No
PUR000253,CUST0253,Brand Website,7190,10,9390,Full Kits,8,Low,0.06,Credit Card,High,Yes
PUR000254,CUST0254,Local Store,1010,1,1310,Accessories,1,Medium,0.31,Cash on Delivery,Low,No
PUR000255,CUST0255,Amazon,4410,6,5710,Bats,5,Medium,0.20,UPI,Medium,Yes
PUR000256,CUST0256,Brand Website,6470,9,8370,Full Kits,7,Low,0.09,Credit Card,High,Yes
PUR000257,CUST0257,Flipkart,2170,3,2870,Gloves,3,High,0.42,Debit Card,Medium,No
PUR000258,CUST0258,Amazon,3770,5,4970,Shoes,4,Medium,0.24,UPI,Medium,Yes
PUR000259,CUST0259,Local Store,1270,1,1570,Accessories,1,High,0.55,Cash on Delivery,Low,No
PUR000260,CUST0260,Brand Website,5620,8,7420,Full Kits,6,Low,0.09,Credit Card,High,Yes
PUR000261,CUST0261,Amazon,3350,5,4450,Bats,4,Medium,0.24,UPI,Medium,Yes
PUR000262,CUST0262,Flipkart,1810,2,2310,Jerseys,2,High,0.48,Debit Card,Low,No
PUR000263,CUST0263,Brand Website,6850,10,9050,Full Kits,8,Low,0.07,Credit Card,High,Yes
