customer_id,age,gender,city,state,city_tier,occupation,monthly_income,cricket_interest_score,favorite_ipl_team,favorite_player,,preferred_streaming_platform,fantasy_cricket_user,sports_equipment_spending_per_month,preferred_shopping_platform,cricket_search_frequency_per_month,device_type,digital_engagement_score,likely_to_buy_cricket_kit
CUST0041,21,Male,Siliguri,West Bengal,Tier 2,Student,11000,8.3,Kolkata Knight Riders,Shreyas Iyer,6,JioHotstar,Yes,1900,Amazon,19,Mobile,83.7,Yes
CUST0042,34,Male,Bengaluru,Karnataka,Tier 1,Working Professional,85000,6.7,Royal Challengers Bengaluru,Virat Kohli,4,JioHotstar,No,2200,Brand Website,11,Laptop,69.5,No
CUST0043,27,Female,Jaipur,Rajasthan,Tier 2,Working Professional,52000,7.6,Rajasthan Royals,Sanju Samson,5,JioHotstar,Yes,2400,Amazon,15,Mobile,78.9,Yes
CUST0044,31,Male,Dehradun,Uttarakhand,Tier 2,Coach,58000,6.4,Delhi Capitals,Axar Patel,4,TV,No,3500,Brand Website,10,Laptop,60.7,No
CUST0045,18,Male,Jamshedpur,Jharkhand,Tier 2,Student,8500,9.5,Mumbai Indians,Suryakumar Yadav,7,JioHotstar,Yes,2600,Amazon,32,Mobile,96.4,Yes
CUST0046,43,Female,Madurai,Tamil Nadu,Tier 2,Business,92000,5.0,Chennai Super Kings,Ravindra Jadeja,3,TV,No,1700,Local Store,5,Smart TV,45.2,No
CUST0047,24,Male,Faridabad,Haryana,Tier 1,Working Professional,46000,8.2,Royal Challengers Bengaluru,Virat Kohli,6,JioHotstar,Yes,2900,Amazon,21,Mobile,85.5,Yes
CUST0048,38,Male,Vijayawada,Andhra Pradesh,Tier 2,Coach,74000,6.6,Sunrisers Hyderabad,Abhishek Sharma,4,TV,No,3900,Brand Website,12,Smart TV,61.9,No
CUST0049,20,Female,Udaipur,Rajasthan,Tier 2,Student,9500,8.7,Rajasthan Royals,Yashasvi Jaiswal,7,JioHotstar,Yes,1800,Flipkart,25,Mobile,87.1,Yes
CUST0050,46,Male,Kolhapur,Maharashtra,Tier 2,Business,108000,4.7,Mumbai Indians,Rohit Sharma,2,TV,No,1500,Local Store,4,Smart TV,42.6,No
CUST0051,25,Male,Ahmednagar,Maharashtra,Tier 2,Working Professional,42000,7.9,Chennai Super Kings,Ruturaj Gaikwad,5,JioHotstar,Yes,2400,Amazon,18,Mobile,81.2,Yes
CUST0052,33,Female,Delhi,Delhi,Tier 1,Working Professional,76000,6.4,Delhi Capitals,Rishabh Pant,4,TV,No,1900,Flipkart,11,Laptop,66.1,No
CUST0053,19,Male,Gwalior,Madhya Pradesh,Tier 2,Student,9500,9.2,Royal Challengers Bengaluru,Virat Kohli,7,JioHotstar,Yes,2800,Amazon,29,Mobile,93.6,Yes
CUST0054,41,Male,Kota,Rajasthan,Tier 2,Business,98000,5.1,Rajasthan Royals,Jos Buttler,3,TV,No,1600,Local Store,5,Smart TV,47.8,No
CUST0055,28,Female,Thiruvananthapuram,Kerala,Tier 2,Working Professional,57000,7.0,Mumbai Indians,Jasprit Bumrah,5,JioHotstar,Yes,2300,Amazon,15,Mobile,74.4,Yes
CUST0056,22,Male,Prayagraj,Uttar Pradesh,Tier 2,Athlete,26000,8.8,Lucknow Super Giants,KL Rahul,6,JioHotstar,Yes,4600,Brand Website,24,Mobile,89.2,Yes
CUST0057,36,Male,Surat,Gujarat,Tier 2,Business,84000,5.9,Gujarat Titans,Shubman Gill,3,TV,No,2100,Flipkart,8,Laptop,54.6,No
CUST0058,17,Female,Jabalpur,Madhya Pradesh,Tier 2,Student,7000,8.4,Chennai Super Kings,MS Dhoni,6,YouTube Highlights,Yes,1400,Amazon,20,Mobile,82.1,Yes
CUST0059,30,Male,Panipat,Haryana,Tier 2,Working Professional,51000,6.8,Punjab Kings,Arshdeep Singh,4,JioHotstar,No,2200,Flipkart,12,Laptop,68.9,No
CUST0060,24,Male,Bengaluru,Karnataka,Tier 1,Working Professional,62000,8.1,Royal Challengers Bengaluru,Faf du Plessis,6,JioHotstar,Yes,3100,Amazon,23,Mobile,87.5,Yes
CUST0061,47,Female,Tiruchirappalli,Tamil Nadu,Tier 2,Coach,69000,5.3,Sunrisers Hyderabad,Pat Cummins,2,TV,No,3200,Brand Website,6,Smart TV,44.1,No
CUST0062,20,Male,Patna,Bihar,Tier 2,Student,10000,9.0,Mumbai Indians,Suryakumar Yadav,7,JioHotstar,Yes,2500,Amazon,30,Mobile,94.8,Yes
CUST0063,39,Male,Navi Mumbai,Maharashtra,Tier 1,Business,118000,6.2,Mumbai Indians,Rohit Sharma,4,TV,No,2600,Brand Website,9,Laptop,61.4,No
CUST0064,26,Female,Chennai,Tamil Nadu,Tier 1,Working Professional,54000,7.5,Chennai Super Kings,Ravindra Jadeja,5,JioHotstar,Yes,2700,Amazon,17,Mobile,78.3,Yes
CUST0065,18,Male,Dhanbad,Jharkhand,Tier 2,Student,8500,9.4,Kolkata Knight Riders,Rinku Singh,7,JioHotstar,Yes,2100,Amazon,31,Mobile,95.2,Yes
CUST0066,35,Male,Gurugram,Haryana,Tier 1,Working Professional,93000,6.7,Delhi Capitals,David Warner,4,JioHotstar,No,2400,Brand Website,10,Laptop,70.5,No
CUST0067,23,Female,Hubli,Karnataka,Tier 2,Student,13000,8.0,Royal Challengers Bengaluru,Virat Kohli,6,JioHotstar,Yes,1700,Flipkart,19,Mobile,80.9,Yes
CUST0068,44,Male,Srinagar,Jammu and Kashmir,Tier 2,Business,102000,4.6,Chennai Super Kings,MS Dhoni,2,TV,No,1200,Local Store,4,Smart TV,38.7,No
CUST0069,27,Male,Mumbai,Maharashtra,Tier 1,Athlete,38000,8.9,Mumbai Indians,Jasprit Bumrah,6,JioHotstar,Yes,5200,Brand Website,26,Mobile,91.6,Yes
CUST0070,32,Female,Nagpur,Maharashtra,Tier 2,Working Professional,61000,6.1,Sunrisers Hyderabad,Heinrich Klaasen,4,TV,No,2000,Amazon,9,Laptop,59.3,No
CUST0071,16,Male,Aligarh,Uttar Pradesh,Tier 3,Student,6000,8.7,Rajasthan Royals,Sanju Samson,7,JioHotstar,Yes,1300,Amazon,23,Mobile,86.2,Yes
CUST0072,40,Male,Bhubaneswar,Odisha,Tier 2,Coach,72000,5.8,Kolkata Knight Riders,Andre Russell,3,TV,No,3400,Brand Website,7,Smart TV,52.6,No
CUST0073,29,Female,Pune,Maharashtra,Tier 1,Working Professional,68000,7.4,Chennai Super Kings,MS Dhoni,5,JioHotstar,Yes,2500,Amazon,16,Mobile,77.9,Yes
CUST0074,21,Male,Meerut,Uttar Pradesh,Tier 2,Student,12000,9.1,Lucknow Super Giants,Nicholas Pooran,7,JioHotstar,Yes,2200,Flipkart,28,Mobile,92.7,Yes
CUST0075,37,Male,Visakhapatnam,Andhra Pradesh,Tier 2,Business,86000,5.5,Sunrisers Hyderabad,Abhishek Sharma,3,TV,No,1800,Local Store,6,Laptop,49.9,No
CUST0076,26,Female,Noida,Uttar Pradesh,Tier 1,Working Professional,59000,7.8,Royal Challengers Bengaluru,Virat Kohli,5,JioHotstar,Yes,2800,Amazon,20,Mobile,82.5,Yes
CUST0077,19,Male,Rourkela,Odisha,Tier 2,Student,9000,8.5,Mumbai Indians,Hardik Pandya,6,JioHotstar,Yes,1600,Amazon,22,Mobile,84.6,Yes
CUST0078,48,Female,Salem,Tamil Nadu,Tier 2,Business,95000,4.9,Chennai Super Kings,Ruturaj Gaikwad,2,TV,No,1400,Local Store,5,Smart TV,41.2,No
CUST0079,31,Male,Hyderabad,Telangana,Tier 1,Working Professional,71000,7.2,Sunrisers Hyderabad,Travis Head,5,JioHotstar,Yes,2900,Brand Website,14,Laptop,75.4,Yes
CUST0080,22,Male,Warangal,Telangana,Tier 2,Athlete,24000,9.3,Sunrisers Hyderabad,Pat Cummins,7,JioHotstar,Yes,4900,Brand Website,27,Mobile,94.1,Yes
CUST0081,43,Male,Ajmer,Rajasthan,Tier 2,Coach,64000,5.4,Rajasthan Royals,Yashasvi Jaiswal,3,TV,No,3100,Local Store,7,Smart TV,50.7,No
CUST0082,24,Female,Indore,Madhya Pradesh,Tier 2,Working Professional,47000,7.7,Kolkata Knight Riders,Sunil Narine,5,JioHotstar,Yes,2100,Amazon,18,Mobile,79.8,Yes
CUST0083,18,Male,Kanpur,Uttar Pradesh,Tier 2,Student,8000,9.5,Royal Challengers Bengaluru,Virat Kohli,7,JioHotstar,Yes,2400,Amazon,33,Mobile,97.3,Yes
CUST0084,34,Male,Kochi,Kerala,Tier 2,Business,89000,6.0,Mumbai Indians,Rohit Sharma,4,TV,No,2300,Flipkart,9,Laptop,58.4,No
CUST0085,27,Female,Ahmedabad,Gujarat,Tier 1,Working Professional,64000,7.1,Gujarat Titans,Rashid Khan,5,JioHotstar,Yes,2600,Amazon,15,Mobile,76.8,Yes
CUST0086,42,Male,Bareilly,Uttar Pradesh,Tier 2,Coach,68000,5.7,Delhi Capitals,Axar Patel,3,TV,No,3300,Brand Website,8,Smart TV,53.2,No
CUST0087,20,Male,Nellore,Andhra Pradesh,Tier 2,Student,9500,8.8,Sunrisers Hyderabad,Heinrich Klaasen,6,JioHotstar,Yes,1800,Amazon,24,Mobile,87.6,Yes
CUST0088,29,Female,Kolkata,West Bengal,Tier 1,Working Professional,62000,7.3,Kolkata Knight Riders,Shreyas Iyer,5,JioHotstar,Yes,2400,Flipkart,17,Laptop,78.5,Yes
CUST0089,51,Male,Solapur,Maharashtra,Tier 2,Business,121000,4.3,Chennai Super Kings,MS Dhoni,1,TV,No,900,Local Store,3,Smart TV,35.9,No
CUST0090,23,Male,Vadodara,Gujarat,Tier 2,Student,14000,8.6,Gujarat Titans,Shubman Gill,6,JioHotstar,Yes,2000,Amazon,21,Mobile,85.8,Yes
CUST0091,38,Female,Mangalore,Karnataka,Tier 2,Working Professional,69000,6.2,Royal Challengers Bengaluru,Virat Kohli,4,TV,No,2200,Brand Website,10,Laptop,63.7,No
CUST0092,17,Male,Gaya,Bihar,Tier 2,Student,7500,9.1,Mumbai Indians,Jasprit Bumrah,7,JioHotstar,Yes,1500,Amazon,29,Mobile,93.4,Yes
CUST0093,30,Male,Chandigarh,Chandigarh,Tier 1,Working Professional,78000,7.0,Punjab Kings,Shikhar Dhawan,5,JioHotstar,No,2600,Amazon,13,Laptop,72.1,Yes
CUST0094,45,Female,Jodhpur,Rajasthan,Tier 2,Business,97000,5.0,Rajasthan Royals,Jos Buttler,2,TV,No,1600,Local Store,5,Smart TV,43.6,No
CUST0095,25,Male,Lucknow,Uttar Pradesh,Tier 1,Athlete,34000,8.7,Lucknow Super Giants,KL Rahul,6,JioHotstar,Yes,5100,Brand Website,25,Mobile,90.1,Yes
CUST0096,36,Male,Coimbatore,Tamil Nadu,Tier 2,Working Professional,66000,6.5,Chennai Super Kings,Ravindra Jadeja,4,JioHotstar,No,2100,Flipkart,11,Laptop,64.5,No
CUST0097,19,Female,Raipur,Chhattisgarh,Tier 2,Student,8500,8.9,Delhi Capitals,Rishabh Pant,7,JioHotstar,Yes,1700,Amazon,26,Mobile,88.8,Yes
CUST0098,41,Male,Shimla,Himachal Pradesh,Tier 2,Coach,71000,5.6,Punjab Kings,Liam Livingstone,3,TV,No,3500,Brand Website,7,Smart TV,51.7,No
CUST0099,28,Female,Thane,Maharashtra,Tier 1,Working Professional,60000,7.6,Mumbai Indians,Suryakumar Yadav,5,JioHotstar,Yes,2700,Amazon,18,Mobile,80.3,Yes
CUST0100,22,Male,Dehradun,Uttarakhand,Tier 2,Student,12500,9.2,Royal Challengers Bengaluru,Virat Kohli,7,JioHotstar,Yes,2300,Amazon,30,Mobile,94.5,Yes
CUST0101,27,Male,Mumbai,Maharashtra,Tier 1,Working Professional,68000,7.8,Mumbai Indians,Rohit Sharma,5,JioHotstar,Yes,3200,Amazon,18,Mobile,82.4,Yes
CUST0102,19,Female,Patna,Bihar,Tier 2,Student,9000,8.9,Chennai Super Kings,MS Dhoni,7,JioHotstar,Yes,1700,Flipkart,26,Mobile,91.8,Yes
CUST0103,35,Male,Jaipur,Rajasthan,Tier 2,Business,92000,5.6,Rajasthan Royals,Sanju Samson,3,TV,No,2100,Local Store,7,Laptop,52.7,No
CUST0104,22,Male,Hyderabad,Telangana,Tier 1,Athlete,30000,9.3,Sunrisers Hyderabad,Pat Cummins,7,JioHotstar,Yes,5400,Brand Website,31,Mobile,95.1,Yes
CUST0105,41,Female,Indore,Madhya Pradesh,Tier 2,Coach,71000,6.2,Royal Challengers Bengaluru,Virat Kohli,4,TV,No,3500,Brand Website,10,Smart TV,58.9,No
CUST0106,24,Male,Lucknow,Uttar Pradesh,Tier 1,Working Professional,48000,8.0,Lucknow Super Giants,KL Rahul,6,JioHotstar,Yes,2800,Amazon,21,Mobile,84.7,Yes
CUST0107,17,Male,Nashik,Maharashtra,Tier 2,Student,7500,9.4,Mumbai Indians,Jasprit Bumrah,7,JioHotstar,Yes,1600,Amazon,33,Mobile,96.3,Yes
CUST0108,33,Female,Bengaluru,Karnataka,Tier 1,Working Professional,81000,6.7,Royal Challengers Bengaluru,Faf du Plessis,4,JioHotstar,No,2400,Flipkart,11,Laptop,69.1,No
CUST0109,28,Male,Kolkata,West Bengal,Tier 1,Working Professional,59000,7.5,Kolkata Knight Riders,Rinku Singh,5,JioHotstar,Yes,2600,Amazon,16,Mobile,79.6,Yes
CUST0110,45,Male,Surat,Gujarat,Tier 2,Business,108000,4.9,Gujarat Titans,Shubman Gill,2,TV,No,1400,Local Store,5,Smart TV,44.2,No
CUST0111,20,Female,Chennai,Tamil Nadu,Tier 1,Student,11000,8.7,Chennai Super Kings,Ravindra Jadeja,6,JioHotstar,Yes,1900,Amazon,24,Mobile,87.5,Yes
CUST0112,31,Male,Pune,Maharashtra,Tier 1,Working Professional,72000,7.1,Mumbai Indians,Suryakumar Yadav,5,JioHotstar,No,2500,Brand Website,14,Laptop,73.3,Yes
CUST0113,18,Male,Kanpur,Uttar Pradesh,Tier 2,Student,8500,9.1,Royal Challengers Bengaluru,Virat Kohli,7,JioHotstar,Yes,2200,Amazon,30,Mobile,94.2,Yes
CUST0114,39,Female,Kochi,Kerala,Tier 2,Working Professional,68000,6.0,Delhi Capitals,Rishabh Pant,3,TV,No,1800,Flipkart,8,Laptop,56.8,No
CUST0115,26,Male,Ahmedabad,Gujarat,Tier 1,Athlete,36000,8.8,Gujarat Titans,Rashid Khan,6,JioHotstar,Yes,5000,Brand Website,27,Mobile,90.9,Yes
CUST0116,47,Male,Amritsar,Punjab,Tier 2,Business,115000,4.5,Punjab Kings,Shikhar Dhawan,2,TV,No,1200,Local Store,4,Smart TV,39.5,No
CUST0117,23,Female,Noida,Uttar Pradesh,Tier 1,Student,15000,8.3,Delhi Capitals,David Warner,6,JioHotstar,Yes,2100,Amazon,22,Mobile,83.7,Yes
CUST0118,34,Male,Coimbatore,Tamil Nadu,Tier 2,Working Professional,64000,6.4,Chennai Super Kings,Ruturaj Gaikwad,4,JioHotstar,No,2300,Flipkart,10,Laptop,63.2,No
CUST0119,16,Male,Guwahati,Assam,Tier 2,Student,6500,9.5,Rajasthan Royals,Yashasvi Jaiswal,7,JioHotstar,Yes,1400,Amazon,35,Mobile,97.1,Yes
CUST0120,42,Female,Nagpur,Maharashtra,Tier 2,Coach,73000,5.8,Mumbai Indians,Hardik Pandya,3,TV,No,3200,Brand Website,7,Smart TV,51.6,No
CUST0121,29,Male,Delhi,Delhi,Tier 1,Working Professional,77000,7.4,Delhi Capitals,Axar Patel,5,JioHotstar,Yes,2900,Amazon,17,Laptop,78.4,Yes
CUST0122,21,Male,Bhopal,Madhya Pradesh,Tier 2,Student,12000,8.6,Royal Challengers Bengaluru,Virat Kohli,6,JioHotstar,Yes,1800,Amazon,25,Mobile,86.5,Yes
CUST0123,37,Female,Vijayawada,Andhra Pradesh,Tier 2,Business,89000,5.5,Sunrisers Hyderabad,Heinrich Klaasen,3,TV,No,1900,Local Store,6,Laptop,49.8,No
CUST0124,25,Male,Chandigarh,Chandigarh,Tier 1,Working Professional,56000,7.9,Punjab Kings,Arshdeep Singh,5,JioHotstar,Yes,3100,Amazon,19,Mobile,81.9,Yes
CUST0125,19,Female,Ranchi,Jharkhand,Tier 2,Student,9500,9.0,Chennai Super Kings,MS Dhoni,7,JioHotstar,Yes,1700,Flipkart,28,Mobile,92.4,Yes
CUST0126,44,Male,Jodhpur,Rajasthan,Tier 2,Business,101000,5.0,Rajasthan Royals,Jos Buttler,2,TV,No,1500,Local Store,5,Smart TV,43.7,No
CUST0127,28,Male,Thane,Maharashtra,Tier 1,Working Professional,61000,7.3,Mumbai Indians,Jasprit Bumrah,5,JioHotstar,Yes,2700,Amazon,16,Mobile,76.9,Yes
CUST0128,32,Female,Mysuru,Karnataka,Tier 2,Working Professional,58000,6.1,Royal Challengers Bengaluru,Virat Kohli,4,TV,No,2200,Flipkart,9,Laptop,60.5,No
CUST0129,18,Male,Meerut,Uttar Pradesh,Tier 2,Student,8000,9.2,Lucknow Super Giants,Nicholas Pooran,7,JioHotstar,Yes,2000,Amazon,31,Mobile,95.4,Yes
CUST0130,40,Male,Raipur,Chhattisgarh,Tier 2,Coach,70000,5.7,Kolkata Knight Riders,Andre Russell,3,TV,No,3400,Brand Website,8,Smart TV,53.4,No
CUST0131,24,Female,Vadodara,Gujarat,Tier 2,Working Professional,49000,7.7,Gujarat Titans,Shubman Gill,5,JioHotstar,Yes,2500,Amazon,18,Mobile,80.1,Yes
CUST0132,52,Male,Siliguri,West Bengal,Tier 2,Business,126000,4.2,Kolkata Knight Riders,Sunil Narine,1,TV,No,1000,Local Store,3,Smart TV,34.8,No
CUST0133,22,Male,Faridabad,Haryana,Tier 1,Athlete,28000,8.9,Punjab Kings,Liam Livingstone,6,JioHotstar,Yes,4700,Brand Website,26,Mobile,91.3,Yes
CUST0134,36,Female,Hubli,Karnataka,Tier 2,Working Professional,65000,6.3,Royal Challengers Bengaluru,Faf du Plessis,4,JioHotstar,No,2100,Flipkart,11,Laptop,64.7,No
CUST0135,20,Male,Udaipur,Rajasthan,Tier 2,Student,10000,8.8,Rajasthan Royals,Sanju Samson,7,JioHotstar,Yes,1900,Amazon,27,Mobile,89.6,Yes
CUST0136,43,Male,Patiala,Punjab,Tier 2,Business,97000,5.1,Punjab Kings,Shikhar Dhawan,2,TV,No,1600,Local Store,5,Smart TV,45.1,No
CUST0137,27,Female,Visakhapatnam,Andhra Pradesh,Tier 2,Working Professional,54000,7.2,Sunrisers Hyderabad,Abhishek Sharma,5,JioHotstar,Yes,2600,Amazon,15,Mobile,77.5,Yes
CUST0138,30,Male,Mumbai,Maharashtra,Tier 1,Working Professional,83000,7.0,Mumbai Indians,Rohit Sharma,5,JioHotstar,No,3000,Brand Website,14,Laptop,74.2,Yes
CUST0139,17,Male,Gaya,Bihar,Tier 2,Student,7000,9.3,Chennai Super Kings,Ravindra Jadeja,7,JioHotstar,Yes,1500,Amazon,34,Mobile,96.5,Yes
CUST0140,41,Female,Tirupati,Andhra Pradesh,Tier 2,Coach,69000,5.9,Sunrisers Hyderabad,Pat Cummins,3,TV,No,3300,Brand Website,7,Smart TV,52.3,No
CUST0141,26,Male,Hyderabad,Telangana,Tier 1,Working Professional,62000,8.1,Sunrisers Hyderabad,Travis Head,6,JioHotstar,Yes,3200,Amazon,21,Mobile,85.9,Yes
CUST0142,19,Female,Agra,Uttar Pradesh,Tier 2,Student,9000,8.7,Delhi Capitals,Rishabh Pant,7,JioHotstar,Yes,1700,Flipkart,26,Mobile,90.7,Yes
CUST0143,35,Male,Aurangabad,Maharashtra,Tier 2,Business,91000,5.6,Mumbai Indians,Suryakumar Yadav,3,TV,No,2200,Local Store,6,Laptop,51.4,No
CUST0144,23,Male,Bengaluru,Karnataka,Tier 1,Athlete,34000,9.1,Royal Challengers Bengaluru,Virat Kohli,7,JioHotstar,Yes,5200,Brand Website,29,Mobile,93.8,Yes
